N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
91,SK바이오사이언스,"52,700","3,350",+6.79%,500,"40,488","76,828",6.74,"117,114",176.85,1.30,
92,한화솔루션,"23,550",600,+2.61%,"5,000","40,481","171,893",21.54,"756,973",-5.24,-2.48,
93,롯데케미칼,"92,500","3,400",+3.82%,"5,000","39,567","42,775",24.98,"84,257",-14.40,-0.33,
94,TIGER KOFR금리액티브(합성),"106,145",5,0.00%,0,"38,063","35,859",0.00,"37,543",N/A,N/A,
95,엔씨소프트,"171,600","11,200",+6.98%,500,"37,673","21,954",36.27,"95,542",24.21,6.58,
96,한국금융지주,"67,400","3,700",+5.81%,"5,000","37,559","55,726",41.54,"140,906",5.56,8.81,
97,삼성증권,"41,800","1,500",+3.72%,"5,000","37,327","89,300",30.36,"245,498",6.81,8.54,
98,한국가스공사,"40,400","2,450",+6.46%,"5,000","37,294","92,313",6.85,"1,409,228",-7.64,-7.68,
99,시프트업,"64,200","6,400",+11.07%,200,"37,253","58,026",1.19,"536,973",30.11,86.44,
100,금양,"63,900","7,800",+13.90%,500,"37,094","58,050",12.39,"601,846",-50.51,-38.52,
